rank,key,score,net_return,final_equity,max_drawdown,trades,win_rate,profit_factor,fees,daily_sharpe,exposure,halted,start,end,bars,positive_quarter_fraction
21,rsi_pullback_4h_14_30_atr3,-0.02192733229547414,-0.00712739335725332,9928.726066427467,0.012933211209774975,11,0.18181818181818182,0.635563503483957,20.925518362633003,-0.3123628475842894,0.017034220532319393,False,2022-01-01T00:00:00+00:00,2024-12-31T20:00:00+00:00,6575,0.08333333333333333
22,breakout_1h_80_40_atr3,-0.022108077940954336,0.022283266048143124,10222.832660481432,0.0687550319756084,181,0.3867403314917127,1.0454971311404087,743.1788311133303,0.17621748114794242,0.23994373051478976,False,2022-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,26302,0.4166666666666667
23,rsi_pullback_4h_14_30_atr2,-0.026295522974277313,-0.009276836042923953,9907.23163957076,0.01737070719604006,11,0.18181818181818182,0.6521089391205382,30.445953393607365,-0.2954290341932996,0.016730038022813688,False,2022-01-01T00:00:00+00:00,2024-12-31T20:00:00+00:00,6575,0.08333333333333333
24,rsi_pullback_4h_14_35_atr2,-0.02782833636223573,-0.006340817888380146,9936.591821116199,0.0363083702810445,34,0.3235294117647059,0.9264946400337197,103.51208473559903,-0.097798078245513,0.06980988593155893,False,2022-01-01T00:00:00+00:00,2024-12-31T20:00:00+00:00,6575,0.3333333333333333
25,ema_4h_10_50_atr2,-0.039644002907904,-0.003482894062522779,9965.171059374772,0.06127900883417481,87,0.3103448275862069,0.9840151021963358,276.2091599170746,-0.02129380153648687,0.20486692015209126,False,2022-01-01T00:00:00+00:00,2024-12-31T20:00:00+00:00,6575,0.4166666666666667
26,ema_1h_20_100_atr3,-0.07023501060576753,-0.026988822925644307,9730.111770743557,0.08644143613839816,159,0.32075471698113206,0.9323184473514289,696.1321972358444,-0.20889234679789914,0.18762831723823284,False,2022-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,26302,0.5
27,rsi_pullback_1h_14_30_atr3,-0.07261687837503397,-0.04298884226126387,9570.11157738736,0.04703408054714775,34,0.17647058823529413,0.4326391090370879,144.57043147695896,-1.0915065661623589,0.015360048665500722,False,2022-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,26302,0.3333333333333333
28,rsi_pullback_1h_21_35_atr3,-0.07835519335465714,-0.04430908661141131,9556.909133885887,0.045447516440073055,27,0.1111111111111111,0.28432538039518496,118.30183695119169,-1.305181216074341,0.013763211923047677,False,2022-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,26302,0.16666666666666666
29,rsi_pullback_1h_14_35_atr3,-0.07950437951668084,-0.044410624103542795,9555.893758964572,0.04519363681519439,74,0.32432432432432434,0.6986255933344736,304.25446029675226,-0.7478189126501504,0.034598129419815986,False,2022-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,26302,0.16666666666666666
30,rsi_pullback_4h_7_25_atr3,-0.08353251584127512,-0.045767043555171916,9542.32956444828,0.049657277189281035,37,0.35135135135135137,0.4360879245640849,80.34356894956704,-1.148872109366464,0.04273764258555133,False,2022-01-01T00:00:00+00:00,2024-12-31T20:00:00+00:00,6575,0.0
31,rsi_pullback_4h_7_25_atr2,-0.09262362381318037,-0.05296216411802357,9470.378358819764,0.05858168110260009,40,0.325,0.4992797240103374,124.48389857029076,-1.0387836269555357,0.03923954372623574,False,2022-01-01T00:00:00+00:00,2024-12-31T20:00:00+00:00,6575,0.08333333333333333
32,rsi_pullback_1h_21_35_atr2,-0.09422082781236242,-0.052179248832214364,9478.207511677856,0.059961519019138265,27,0.14814814814814814,0.3368694938697331,163.6351548646024,-1.3940218410070826,0.010227359136187362,False,2022-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,26302,0.16666666666666666
33,ema_1h_50_200_atr2,-0.09796335699028769,-0.055780342750967216,9442.196572490328,0.0591836692202401,77,0.3246753246753247,0.7644836279495248,459.02731583994523,-0.6364655292274181,0.05406432970876739,False,2022-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,26302,0.25
34,rsi_pullback_1h_14_30_atr2,-0.10460979559618401,-0.06003817542640044,9399.618245735996,0.06498966099640047,35,0.17142857142857143,0.4147727155298124,204.3353928715428,-1.3533630788428723,0.01372519200060832,False,2022-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,26302,0.16666666666666666
35,rsi_pullback_1h_14_35_atr2,-0.11508096690044846,-0.06696376348758715,9330.362365124129,0.06818814707495313,78,0.2948717948717949,0.6644881694069665,445.99005720283986,-0.8729066347811092,0.032240894228575775,False,2022-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,26302,0.16666666666666666
36,rsi_pullback_1h_7_25_atr3,-0.1506660908604772,-0.08704411218722452,9129.558878127755,0.09298643141269103,106,0.41509433962264153,0.5034540284006255,454.45431042062046,-1.7065561260923383,0.04003497832864421,False,2022-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,26302,0.08333333333333333
37,breakout_1h_120_60_atr2,-0.15483355120330114,-0.0902052442392447,9097.947557607553,0.10050733024092207,148,0.34459459459459457,0.7933426577385158,794.3923776051007,-0.7637949787010196,0.09774922059159,True,2022-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,26302,0.3333333333333333
38,ema_1h_20_50_atr3,-0.16237415030891383,-0.09815615095225894,9018.43849047741,0.10008444875012235,121,0.21487603305785125,0.6584614822674026,485.1008281169403,-1.045749000238957,0.11577066382784579,True,2022-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,26302,0.25
39,breakout_1h_80_40_atr2,-0.16680688612803507,-0.0996111560842845,9003.888439157156,0.10101617581365685,60,0.23333333333333334,0.5088323683699637,298.94240728480315,-1.4308896047061013,0.04349479127062581,True,2022-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,26302,0.25
40,rsi_pullback_1h_7_25_atr2,-0.16701009858125013,-0.09620076262901434,9037.992373709856,0.10094303001178151,94,0.40425531914893614,0.499790003887428,542.7126212099059,-1.6188458221734348,0.03292525283248422,True,2022-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,26302,0.08333333333333333
41,breakout_1h_20_10_atr3,-0.16748061382101592,-0.09427415167489417,9057.258483251058,0.10064040528269502,206,0.32524271844660196,0.7904247416191387,808.3697217235227,-0.7932443156176507,0.15721237928674625,True,2022-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,26302,0.25
42,breakout_1h_40_20_atr3,-0.16857765178143663,-0.09932460493702255,9006.753950629774,0.10177503735421356,141,0.3120567375886525,0.7393343364130873,595.8246030170629,-0.9027872189272531,0.1296859554406509,True,2022-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,26302,0.25
43,ema_1h_20_100_atr2,-0.16990345651795605,-0.09408481409157066,9059.151859084293,0.10097964684067884,79,0.26582278481012656,0.612381944554163,425.5908932396666,-1.080341555575302,0.06337921070641016,True,2022-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,26302,0.08333333333333333
44,breakout_1h_20_10_atr2,-0.17057208676943814,-0.09018106735946896,9098.18932640531,0.10131909002204664,92,0.29347826086956524,0.6201786793142201,403.5410308028857,-1.0270015694756276,0.05953919854003498,True,2022-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,26302,0.16666666666666666
45,breakout_1h_40_20_atr2,-0.1710972676070578,-0.09809258751392103,9019.07412486079,0.10088084782122497,75,0.28,0.5549448837332227,346.39093447503296,-1.2661234169515336,0.04665044483309254,True,2022-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,26302,0.25
46,ema_1h_10_50_atr3,-0.17188068686844557,-0.1001718178523211,8998.281821476789,0.10076105766033361,96,0.20833333333333334,0.5411494493687228,313.54714574203706,-1.3379425215141145,0.06763744201961829,True,2022-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,26302,0.4166666666666667
47,ema_1h_20_50_atr2,-0.18762583714965406,-0.10325706048575989,8967.4293951424,0.10325706048575989,65,0.2,0.48149713616735085,289.00755115342173,-1.3479260009357783,0.04684054444528933,True,2022-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,26302,0.08333333333333333
48,ema_1h_10_50_atr2,-0.1957884240058077,-0.09974953534738562,9002.504646526144,0.10089883763052476,59,0.2033898305084746,0.4081098975978002,268.72357607831,-1.45367523679474,0.0397688388715687,True,2022-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,26302,0.16666666666666666
